,0
0,https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2018-ford-f-150-xlt/m2826529
1,https://www.kijiji.ca/v-cars-trucks/ottawa/2016-subaru-forester-i-awd-bluetooth-smart-device-integration/m2517601
2,https://www.kijiji.ca/v-cars-trucks/calgary/2020-ford-f150-xlt/m2344693
3,https://www.kijiji.ca/v-cars-trucks/grande-prairie/2016-porsche-cayenne/1598262813
4,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2018-toyota-camry-xse-red-leather-interior-lane-asist-luxury/m2791363
5,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2012-dodge-grand-caravan-se/m2805585
6,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2018-chevrolet-silverado-1500-crew-4x-high-country-6-2/m2359073
7,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2002-chevrolet-silverado-3500-base/m2393312
8,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2006-ford-super-duty-f-350-srw-lariat/m2596358
9,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2018-chevrolet-silverado-1500-midnight-edition-6-2-crew-ltz/m2365980
10,https://www.kijiji.ca/v-other-auto-parts-and-accessories/gta-greater-toronto-area/used-car-batteries-in-stock-exchange-your-dead-battery-for-only-50/cas_10279151?channelId=101&td=tNXAqWWZF8aIpByetbOwAbL3fNxxdazclTW8n5XbV8yZqoOySm9qNd5l-DF2rMPcLlW9AjfWZHQjmZqG6ip366d_NDam0oHcf9tHLq8nXVqYtdRyqAHFdrnUM-F18Ki6QLaDXUibjo2XADJRVIVk7Tzl8ZbmNDFvNUGlBMXDVWaiO252lOzNkkynFsCwUpVeorJy_r0r3hm390Oj4qkHwbWAV4X3x5P4Vnx_U0FGCcb7WsiFqM8NK0tBma-jdjLy8g0mFCa-gYsneu7hw6BCYFq8yhXIUkQGJqU54D_BSAAVTc3pICrXW4azsu1u19qstjIjWsFfwtS73X_y6JiiUDSvK65qzjFO-IckR4fST4DcOY7ax5s7E23Afq_Q9jPH-E_L5s-hktW0YyHoHqCdZ7_F6nSpcTqjPaivZxJ6RrU1SjC8IejTKUKdj4N2tJkT_RPq28peSpcqbdx74fUlnHw-UF7Dk5gPhJST3WI5rQ4ZWOrX8fHrvjwpkbRGkhnX2mrH7AK28uUeRDCje2i_GYJvXRFux9Thrpo9_iZ1YNjMgnszXLWkpM28Z9_fsTMuqaHvgvzG0aQcPS_PXKUxnCIc_wg5RnNIKWcjcLSDJtwxvwMeaXwmMML_WiPEuzz0xNnRpzfOxhZ28ZqcJQ34owSxpiLpf2lPjKCnVo9ts04
11,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2013-chevrolet-silverado-1500-hybrid-crew-w-1sh/m2307344
12,https://www.kijiji.ca/v-cars-trucks/strathcona-county/2014-chevrolet-cruze-1lt/m2449568
13,https://www.kijiji.ca/v-cars-trucks/hamilton/6-5-diesel-half-ton/1598793474
14,https://www.kijiji.ca/v-cars-trucks/bedford/2020-honda-civic-touring-w-carplay-android-auto-cam-nav/m2915402
15,https://www.kijiji.ca/v-cars-trucks/fredericton/2005-chevrolet-duramax/1598793430
16,https://www.kijiji.ca/v-cars-trucks/calgary/2016-ford-f-350-super-duty-lariat-lariat-diesel-sunroof-nav-low-kms/m2895375
17,https://www.kijiji.ca/v-tires-rims/gta-greater-toronto-area/2020-up-mercedes-ben-cla-250-winter-tire-rim-package-at-car-kraze-905-463-2038/cas_18850158?channelId=101&td=GdXmnAhAb-LqMtEdkrNARTNgaGuUluoOGTwG3PILK1Mne40KKBR2hpZleSISK2NIq2IwBxEC26hTv3RFtgGb9dTRlVEPy1xKrpflTvSsivCfX0MbQdqK7_7Gf5K6lWlGFeJ_Rr-q0OkDbmk8rsdZB8hGWxM_btHz9qb8OXyzVHnkdWsg3_RhLQ9NeNuvkxnMkA1ZDowA7shzFMIQo85ByuLrHW74iKgRnbYGvBrlL9gt6jBkNdJBTbW3k0coB5FNMQpAQ5Cl-UUAKO8zkM-6Pye7wii8yn7f4qHTy2CUk3bJPekVNWwKyikkoWn8YioOLs8JcrsDtZpbkC6IU7Wk4YqctuACeyGut0L-_MpVLkxXJpCQ7KyNRq72PhvE-S8B8xNjljFptN72to9-_aFkh-OUDVR3eU6p83_e3iqZu1ELxeprVb1sedb7JmPJca6ODxufHon-79l3BNu9Cyl2P4jm6lWBSQNQdzJD7DTeqsYOcUBAER6aBm1f_nkyNEy8Ixhdqg1nC6ksQRjFvyU41kEjlsxts5vsXLw8nEXOyovPfM2EkYvw6fQquzWa7i5mGJYAjdPthElAP5jdnLoeVncEGvMyiStOrhWc1R3JZzB8e18b0hP7ksjU_LsCR9R8UiPzsbdMqfYAIikqJRhiXw_4fNJd-ITgSBQsJF_wvnY
18,https://www.kijiji.ca/v-cars-trucks/calgary/2013-ford-f-150-fx4-fx4-v8-leather-sunroof-nav-low-kms/m2887955
19,https://www.kijiji.ca/v-cars-trucks/calgary/2012-audi-q5-2-0l-premium-plus-leather-sunroof-nav-awd/m2840116
20,https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2019-honda-pilot-ex-awd-w-carplay-android-auto-cam-heated-front-seats/m2915338
21,https://www.kijijiautos.ca/cars/ford/f-150/used/?utm_source=kijiji&utm_medium=referral&utm_content=web_ResultsSearch&utm_campaign=xpromo_srplisting_delr_priceBadge&_ga=2.179606372.1516941426.1639842348-1247647841.1639842348#vip=23160964
22,https://www.kijiji.ca/v-cars-trucks/calgary/2019-ford-f-150-lariat-lariat-ecoboost-sport-pkg-fx4-296-b-w/m2787995
23,https://www.kijiji.ca/v-cars-trucks/calgary/2013-lincoln-mkz-ecoboost-leather-2-0l-ecoboost-low-kms/m2762886
24,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-150-lariat-502a-leather-3-5-ecoboost-moonroof/m2869345
25,https://www.kijiji.ca/v-cars-trucks/calgary/2017-ford-f-350-super-duty-lariat-lariat-leather-diesel-moonroof-blis-low-kms-578-b-w/m2442085
26,https://www.kijiji.ca/v-cars-trucks/calgary/2018-toyota-tacoma-4x4-double-cab-v6-auto-sr5-trd-sport-4x4-cloth-crew-cab/m2910005
27,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-150-xlt-xtr-longbox-3-5-ecoboost-max-tow/m2787992
28,https://www.kijiji.ca/v-cars-trucks/calgary/2019-ford-f-150-xlt-xtr-3-5-ecoboost-cloth-4x4/m2598190
29,https://www.kijiji.ca/v-cars-trucks/calgary/2018-ford-f-150-platinum-ecoboost-tech-pkg-fx4-max-tow-moonroof-432-b-w/m2469769
