Title,Info,Desc,Application
 2018 Chevrolet Silverado,"$53,995+ taxes",DescriptionAnti-Lock Brakes;Driver Air Bag;Fog Lights;Passenger Air Bag;Side Air Bag;Traction Control;Heated Mirrors;Power Mirrors;Power Windows;Air Conditioning;Cruise Control;Keyless Entry;Power Steering;Tilt Steering Wheel;Child Seat Anchors;Heated Seats;Power Door Locks;Steering Wheel Controls;Trailer Hitch;Bluetooth;GPS Navigation;Power Seats;Proximity Key;Lumbar Support;Push Button Start;Rearview Camera;SiriusXM Radio;Apple CarPlayEngine: 8Additional OptionsAnti-Lock BrakesDriver Air BagFog LightsPassenger Air BagSide Air BagTraction ControlHeated MirrorsPower MirrorsPower WindowsAir ConditioningCruise ControlKeyless EntryPower SteeringTilt Steering WheelChild Seat AnchorsHeated SeatsPower Door LocksSteering Wheel ControlsTrailer HitchBluetoothGPS NavigationPower SeatsProximity KeyLumbar SupportPush Button StartRearview CameraSiriusXM RadioApple CarPlay
 2020 Chevrolet Corvette 2dr Stingray Cpe 2LT * Glass Roof * Front Lift,"$129,988+ taxes","DescriptionClean CarFax 2020 Chevrolet Corvette Coupe C8 2LT 6.2L V8 490hp paired to an 8 speed Automatic Transmission in Torch Red on Adrenaline Red and Black leather interior featuring Front Lift, Glass removable roof panel, HUD heads up display, MEM memory package, Performance Exhaust, NAV factory navigation, GT2 bucket seats, front curb view cameras, reverse camera, rearview mirror camera, dual zone automatic climate control, heated and cooled seats, BOSE performance series stereo, wireless phone charger, High mount wing, 8-way power seats with power adjustable lumbar and side bolsters, remote engine start, LED tail lights, LED headlights, solar-ray light-tinted glass.   CarFax:https://vhr.carfax.ca/?id=%2fBU75tg9UchqwnQv0PCX5%2bFHktthEJDg   Yes we take trade in vehicles.   Check us out on youtube: https://www.youtube.com/watch?v=iG8pb3hFHPU  Like us on Facebook: https://www.facebook.com/munromotors/  We are located in Brantford, Ontario; Telephone City and the hometown of hockey legend Wayne Gretzky. Formerly located in St. George, Ontario for ten years, we are still east of London, south of Cambridge, and west of Hamilton. In order to get our customers to come here, we have to have great prices and then when you get here, we have to have a great car in order to earn your business.  Our business hours are Monday to Friday 10am to 5pm. We are closed on Saturdays and Sundays.  At Munro Motors, we find unique vehicles and post our entire stock online in order to ensure that our vehicles find their happy home.  To ensure our customers can get what they've always wanted, we offer financing services through TD Auto Finance, Desjardins, CIBC Auto Finance and Independent Leasing Companies on vehicles that are less than ten model years old and boats that are less than twenty-five model years old.  We also offer warranty products through Lubrico and GVC warranties to ensure that your mechanical baby stays in tip-top condition.  Because of our customer focused service we have been delivering vehicles to Switzerland, Finland, Rotterdam, Emo, Thunder Bay, Kapuskasing, Halifax, Sudbury, Sault Ste. Marie, Cornwall, Fort Francis, Kelowna, Montréal, Saskatchewan, Virginia, Newfoundland, Edmonton, Ottawa, Fredericton and Winnipeg, as well as Cambridge, Kitchener, Waterloo, Barrie, Windsor, London, Pickering, Peterborough, Oshawa, Sante Fe New Mexico, Blind River, the Greater Toronto Area, and even so far as the Czech Republic!  All of our vehicles are hand-picked by the very knowledgeable owner, Andy Munro, who has been connecting people to their dreams for many years.  Call Andy Munro at 1 (877) 738-8063 Munromotors.com   Email: sales@munromotors.com  Most of our vehicles are already reconditioned, saftied, etested and ready to drive home with you.   Delivery is available. Ask for details   All prices are subject to HST and licensing, no hidden fees.  Financing is available for good credit and bruised credit. OAC as low as 4.89% for well qualified applicants. Ask us for details. COVID-19 Update: We want to assure our customers that we are open and available in person or online anytime. During Covid-19 purchases can be completed online with our Touchless Process. Once paperwork has been completed we will deliver the vehicle in an enclosed trailer to your door at no extra cost, within 100km of the dealership. To support social distancing, we will put the car in your driveway with all the paperwork and keys in the car then stand away from a distance while you inspect your new toy. If you have a trade-in we will take it back to the dealership in our trailer. All of our vehicles have been thoroughly sanitized; our cars are already certified and can be delivered with our Touchless Process. We have access to a local Service Ontario office which at this time has remained open. It is our goal to keep everyone safe while still having Fun!  "
"2018 Hyundai Santa Fe XL XL, PREMIUM, All Wheel Drive, 7 Passenger","$28,500+ taxes","Description""Cardinal Kia Cares We are disinfecting surfaces every hour Offering NO PAYMENTS FOR 6 MONTHS on all Pre-owned inventory aged 2014 + newer.New Front Brakes, Rear Brake Service, Fresh Alignment, Fresh Cabin Filter, Fresh Engine Air Filter, 4-Wheel Disc Brakes, ABS brakes, Air Conditioning, AM/FM radio: SiriusXM, Exterior Parking Camera Rear, Heated front seats, Power door mirrors, Power steering, Power windows, Rear window defroster, Remote keyless entry, Split folding rear seat, Steering wheel mounted audio controls.Blue 2018 Hyundai Santa Fe XL Premium XL, PREMIUM, All Wheel Drive, 7 Passenger AWD 6-Speed Automatic with Shiftronic 3.3L V6 DGI DOHC 24VFamily owned and operated more than 20 years, we provide the friendly and courteous service that you deserve. All of the Pre-Owned vehicles we offer for sale go through a , vigorous safety and mechanical inspection and are thoroughly cleaned and detailed so that they are in as close to ''as new'' condition as possible. Our DAILY Ontario wide Price Checks against similar inventory make sure we are offering you the best deal possible on any vehicle in our stock. Read our Online Reviews & Check us out on Facebook!***** See all of our New & Pre-Owned Inventory, at http://www.cardinalkia.com/.***** We have satisfied customers from all over Ontario; Niagara Falls, St. Catharines, Welland, Fonthill, Fort Erie, Grimsby, Port Colborne, Beamsville, Hamilton, Smithville, Wainfleet, Stoney Creek, Hamilton Mountain, Burlington, Oakville, Ancaster and Caledonia, Mississauga, South Brampton and Hagersville.***** With easy bank financing and these great values, you can drive home in one of these great Cardinal Kia pre-owned vehicles today.""Engine: V6 Cylinder EngineL/100Km City: 13.0L/100Km Hwy: 9.7Safety EquipmentElectronic Stability Control (ESC)ABS And Driveline Traction ControlSide Impact BeamsDual Stage Driver And Passenger Seat-Mounted Side AirbagsRear Parking SensorsBlind Spot Detection (BSD) with Lane Change Assist (LCA) Blind Spotand Rear Cross-Traffic Collision WarningDual Stage Driver And Passenger Front AirbagsCurtain 1st And 2nd Row AirbagsAirbag Occupancy SensorDriver Knee AirbagRear Child Safety LocksOutboard Front Lap And Shoulder Safety Belts -inc: Rear Centre 3 Point, Height Adjusters and PretensionersBack-Up CameraInterior EquipmentMulti-Adjustable Heated Front Bucket Seats -inc: driver's seat power adjustable lumbar support (4-way) and 12-way power driver seat8-Way Driver Seat4-Way Passenger Seat -inc: Manual Recline and Fore/Aft Movement40-20-40 Folding Split-Bench Front Facing Heated Manual Reclining Fold Forward Seatback Rear Seat w/Manual Fore/AftManual Tilt/Telescoping Steering ColumnGauges -inc: Speedometer, Odometer, Engine Coolant Temp, Tachometer, Trip Odometer and Trip ComputerPower Rear Windows, Fixed 3rd Row Windows and w/Manual Sun BlindsFixed 50-50 Split-Bench 3rd Row Seat Front, Manual Fold Into Floor, 2 Manual and Adjustable Head RestraintsHeated Leather/Metal-Look Steering WheelFront CupholderRear CupholderRemote Keyless Entry w/Integrated Key Transmitter, Illuminated Entry, Illuminated Ignition Switch and Panic ButtonProximity Key For Doors And Push Button StartValet FunctionRemote Releases -Inc: Smart Liftgate Proximity Cargo Access and Power FuelCruise Control w/Steering Wheel ControlsRear HVACHVAC -inc: Underseat Ducts and Headliner/Pillar DuctsDual Zone Front Automatic Air ConditioningLocking Glove BoxDriver Foot RestInterior Trim -inc: Simulated Wood Instrument Panel Insert and Metal-Look Interior AccentsFull Cloth HeadlinerLeather/Piano Black Gear Shifter MaterialCloth Seating Surfaces w/Yes Essentials -inc: Stain-resistantDay-Night Rearview MirrorDriver And Passenger Visor Vanity Mirrors w/Driver And Passenger Illumination and Driver Auxiliary MirrorFull Floor Console w/Covered Storage, Mini Overhead Console w/Storage, 4 12V DC Power Outlets and 1 120V AC Power OutletFront Map LightsFade-To-Off Interior LightingFull Carpet Floor Covering -inc: Carpet Front And Rear Floor MatsCarpet Floor TrimCargo Area Concealed StorageTrunk/Hatch Auto-LatchCargo Space LightsFOB Controls -inc: Cargo AccessDriver / Passenger And Rear Door BinsPower 1st Row Windows w/Driver And Passenger 1-Touch Up/DownDelayed Accessory PowerPower Door Locks w/Autolock FeatureSystems MonitorTrip ComputerOutside Temp GaugeAnalog AppearanceManual w/Tilt Front Head Restraints and Manual Adjustable Rear Head RestraintsFront Centre Armrest and Rear Centre Armrest2 Seatback Storage PocketsPerimeter AlarmEngine Immobilizer4 12V DC Power OutletsAir Filtration4 12V DC Power Outlets and 1 120V AC Power OutletExterior EquipmentWheels: 18"" x 7.5"" Aluminum AlloyTires: P235/60R18 ASSteel Spare WheelCompact Spare Tire Stored Underbody w/CrankdownClearcoat PaintBody-Coloured Front Bumper w/Metal-Look Rub Strip/Fascia Accent and Metal-Look Bumper InsertBody-Coloured Rear Bumper w/Metal-Look Rub Strip/Fascia Accent and Metal-Look Bumper InsertBlack Bodyside Cladding and Black Wheel Well TrimChrome Side Windows TrimChrome Door HandlesBody-Coloured Power Heated Side Mirrors w/Manual Folding and Turn Signal IndicatorFixed Rear Window w/Fixed Interval Wiper and DefrosterDeep Tinted GlassSpeed Sensitive Variable Intermittent Wipers w/Heated Wiper ParkFront Windshield -inc: Sun Visor StripFully Galvanized Steel PanelsLip SpoilerChrome GrilleFront License Plate BracketPower Liftgate Rear Cargo AccessTailgate/Rear Door Lock Included w/Power Door LocksRoof Rack Rails OnlyAuto On/Off Projector Beam Halogen Daytime Running Headlamps w/Delay-OffFront Fog LampsEntertainment EquipmentRadio: AM/FM/XM/CD/MP3 Audio System -inc: 6 speakers, iPod/USB/auxiliary jack, Bluetooth hands-free phone system and 5"" colour LCD touch-screen displayRadio w/Seek-Scan, Clock, Speed Compensated Volume Control, Steering Wheel Controls and Internal MemoryStreaming AudioIntegrated Roof Antenna1 LCD Monitor In The FrontMechanical EquipmentEngine: 3.3L GDI DOHC 24-Valve V6 D-CVVTTransmission: 6-Speed Automatic w/SHIFTRONIC3.041 Axle RatioGVWR: 2,550 kgsElectronic Transfer CaseAutomatic Full-Time All-Wheel54-Amp/Hr Maintenance-Free Battery w/Run Down Protection150 Amp AlternatorTrailer Wiring HarnessGas-Pressurized Shock AbsorbersFront And Rear Anti-Roll BarsElectric Power-Assist Speed-Sensing Steering71 L Fuel TankQuasi-Dual Stainless Steel Exhaust w/Chrome Tailpipe FinisherPermanent Locking HubsStrut Front Suspension w/Coil SpringsMulti-Link Rear Suspension w/Coil Springs4-Wheel Disc Brakes w/4-Wheel ABS, Front Vented Discs, Brake Assist, Hill Descent Control and Hill Hold Control"
2014 Chevrolet Camaro 1LT,"$29,152+ taxes","DescriptionEngine: V6 Cylinder Engine 3.6LL/100Km City: 12.6L/100Km Hwy: 7.3Safety EquipmentStabiliTrak, electronic stability control -inc: brake assistTraction controlBrake/transmission shift interlockAir bags, (6) total, dual-stage frontal, thorax side-impact, driver & front passenger, head curtain side-impact, front & rear outboard seating positions -inc: passenger sensing systemOnStar, in-vehicle communications system & assistance service -inc: (6) months of Directions & Connections plan w/turn-by-turn navigation & OnStar RemoteLink *Turn-by-Turn Navigation availability impacted by some geographic/cellular limitation, advisor assisted routing available*Safety belts, 3-point all seating positions -inc: driver & front passenger safety belt pretensionersChild safety seat ""LATCH"" -inc: lower anchorage & top tether for children in rear outboard positionsTrunk emergency release handleTire pressure monitorInterior EquipmentSeating, front sport bucket -inc: adjustable head restraints, passenger side seatback map pocketAir conditioning, single-zone, manualSeating, clothSeating, driver, 6-way power adjuster (fore/aft, up/down) with power reclinerSeating, passenger, 6-way power adjuster (fore/aft, up/down, tilt) with power reclinerFolding rear seat back with trunk pass throughConsole, floor with armrestGlovebox, lockableCup holders, (2) frontMats, floor, front, carpetedDead pedal, driverSteering column, manual rake and telescopicSteering wheel, 3-spoke, leather-wrappedSteering wheel mounted audio controlsInstrumentation, analog -inc: speedometer, tachometer, fuel, engine tempDriver information centre, monochromatic displayCompass located in driver information centreOutside air temperature displayWindows, power with driver and passenger express-down/upLocks, power, programmable with lockout protectionLockout protectionRemote keyless entryCruise control, electronic -inc: set & resume speed, steering wheel mountedTrunk release, remote, driver-sideTheft deterrent, electronic immobilizer, PASS-Key IIIAir filtration system with pollen filterDefogger, rear window, electricPower outlets, auxiliary -inc: (1) in centre console storage area, (1) at front of centre consoleMirror, rear-view, manual day/nightVisors, driver & passenger covered vanity mirrorsLighting, front reading lampsLighting, interior dome lamp with illuminated entry and theatre dimmingShift knob, leather-wrappedMap pockets, front doorsPassenger side seatback map pocketExterior EquipmentWheels, 18"" painted aluminumTires, P245/55R18, blackwall, all seasonTire inflator kitSpare tire and wheel, not desired *Tire sealant & inflator kit in place of spare tire*Fascia, front and rear body colour -inc: front grille, rear diffuserMouldings, body colour lower rockerMouldings, black roof ditchGrille, body colourRear diffuser, body colourHeadlamps, halogen composite with automatic lamp controlFront fog lamps, projector typeMirrors, outside, power adjustable, body colourWiper system, front intermittentEntertainment EquipmentAudio system, 7"" diagonal colour touch screen display with AM/FM stereo6-speaker systemSiriusXM satellite radio -inc: 120-channels, commercial-free music, digital quality sound w/coast-to-coast signal coverage *Includes (3) free trial months beyond which service fees apply*Chevrolet MyLink -inc: Bluetooth streaming audio for music & select phonesUSB port in centre consoleMechanical EquipmentEngine, 3.6L SIDI DOHC V6 VVTTransmission, 6-speed manualAxle, 3.27 ratioEmissions, federal requirementsEmissions, federal tier 2Differential, limited slip (REQ: MN6 Transmission)Rear wheel driveBattery, maintenance free -inc: battery rundown protectionSuspension, sportSteering, power, variable ratioBrakes, 4-wheel antilock, 4-wheel disc -inc: single piston front pistons w/super corner rear brakesExhaust system, dual with polished stainless steel tips"
2020 Chevrolet Trax Premier PREMIER**AWD**BLUETOOTH**TOUCHSCR...,"$27,900+ taxes","DescriptionDon't see what you're looking for? Pre-Order Your New Chevrolet here!!2020 Chevrolet Trax Premier PREMIER**AWD**BLUETOOTH**TOUCHSCREEN RADIO**BACK UP CAMERA** AWD ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT 6-Speed Automatic GrayCertified. GM Certified Details: * 3 months or 5,000 kilometres (whichever comes first) which can be extended or upgraded to an even more comprehensive Certified Pre-Owned Vehicle Protection Plan * 150+ Point Inspection * Exchange policy is 30 days or 2,500 kilometres, whichever comes first * 0% Financing for 24 Months On Select Certified Pre-Owned Models. 24 Months - 0%. 36 Months - 3.49%. 48 Months - 3.49% * 24/7 roadside assistance for 3 months or 5,000 km (whichever comes first) * Current students, recent graduates and full/part-time students eligible for $500 student bonus offer on the purchase of an eligible certified pre-owned vehicle. Offer valid from January 5, 2022 - January 3, 2023. To make Canada feel more like home for newcomers, we’re offering $500 off any eligible Certified Pre-Owned Chevrolet, Buick or GMC vehicle as a welcoming gift. Free 3-month SiriusXM Trial. 1-month OnStar Trial. GM Owner Centre and Mobile AppWhat is Live Market Pricing?Lally Chevrolet, we've changed the way we sell new and pre-owned vehicles with Live Market Pricing. Buying a vehicle can be stressful. Negotiations, trade value, hidden fees and the time a purchase takes is enough to make anyone nervous.How does a customer know if they are getting a good deal or not?How do dealerships like Lally Chevrolet even set prices?In today's customer-centric, tech-savvy world, where is the transparency in the car buying process?We want to make your vehicle purchasing experience stress-free, simple, enjoyable and transparent. So we've made the struggle of negotiating a thing of the past!No More Stressful Negotiations!Purchasing your next vehicle shouldn't feel like a battle. Our team at Lally Chevrolet does not want you to go home wondering if you could have gotten a better deal or not. So, we are offering you the best deal possible, the fair value, with Live Market Pricing.How Does Live Market Pricing Work?With Live Market Pricing, our team checks the fair value of our vehicles every day, comparing equally-equipped vehicles in a 300 kilometer radius of our market area. Then, we update our inventory prices in real-time to reflect the current market price.This allows us to price our vehicles in our market area fairly while passing the savings onto you. With Lally Chevrolet Live Market Pricing system, you can rest assured that you're getting the most competitive price around town.These real-time results offer fair pricing for you, the customer, and eliminates the need for negotiations. Lally Chevrolet Live Market Pricing ensures:? no pricing games? no stressful negotiations or pressure situations? no mark-up to mark-down gimmicks? no hassling? no haggling? no more guessing.Why buy your next vehicle from Lally Chevrolet?We provide an excellent assortment of vehicles. You can find up to 300 new and pre-owned vehicles here at any given time! Hand picking only the best, low mileage and cleanest vehicles in our area.We provide an assortment of leasing and financing options to fit your needs. We have multiple lending partners to provide you with the best finance rates, lease rates and terms available. We want to get you approved and driving!CARFAX Reports are provided with all pre-owned vehicles. We are transparent and upfront with all vehicle disclosure to ensure you piece of mind with your vehicle purchase. No surprises here!SAFETY FIRST! All vehicles undergo a rigorous and detailed mechanical safety inspection by our GM Certified Technicians. The safety of you and your family are paramount to us so you can be sure that your vehicle will meet al of our high standards before y"
2020 GMC Sierra 1500,"$66,999+ taxes","DescriptionTHIS ONE OWNER, ACCIDENT FREE 2020 GMC SIERRA 1500 AT4 HAS- REMOTE KEYLESS ENTRY- REMOTE VEHICLE START- POWER SLIDING REAR WINDOW- POWER SUNROOF- TONNEAU COVER- SPRAY ON BED LINER- 4"" BLACK ROUND ASSIST STEPS- AUTO DIMMING ISRV MIRROR- DUAL ZONE AUTOMATIC CLIMATE CONTROL - PREMIUM GMC INFOTAINMENT SYSTEM WITH NAVIGATION- BOSE SPEAKER SYSTEM- ADAPTIVE CRUISE CONTROL- STEERING WHEEL AUDIO CONTROLS- HEATED STEERING WHEEL- HEATED AND VENTED FRONT SEATS- DRIVER MEMORY SETTINGS- POWER FRONT DRIVER AND PASSENGER SEATS- HEATED REAR OUTBOARD SEATS- AT4 PREMIUM PACKAGE- DRIVER SAFETY ALERT SEAT- HD REAR VISION CAMERA- HITCH GUIDANCE WITH HITCH VIEW- FRONT & REAR PARK ASSIST- FORWARD COLLISION ALERT- REAR CROSS TRAFFIC ALERT- LOW SPEED FORWARD AUTOMATIC BRAKING- LANE CHANGE ALERT WITH SIDE BLIND ZONE ALERT- LANE KEEP ASSIST WITH LANE DEPARTURE WARNING- TRAILERING PACKAGE- TRAILERING BRAKE CONTROLLER- 5.3L ECOTEC3 V8 ENGINE- 10 SPEED AUTOMATIC TRANSMISSION- GVWR 3175KG (7000LBS)"
2006 Audi A3 Basic,"$4,900","DescriptionI Can get it safety no problem
Need LF abs sensor
Trunk boot sensor say it’s open when it not
If the ad is up car is available!!
Not taking 3k.
Adjustable coil lovers
Cts turbo downpipe ready for tune
Ecs tuning bov
New rear wheel bearings
New front brakes done in September 2021
muffler delete
K&n cold air intake etc……
10 inch sub
And has summer set and winter set on the car now
Many more have receipts
"
2022 Honda CR-V Touring,"$45,877+ taxes",DescriptionSee Dealer Website for Details.
 2018 Honda Civic Sport Touring,"$27,900+ taxes","DescriptionNO ACCIDENT – ONLY 1 OWNER – HONDA CERTIFIED Finance for as low as $109/week with $0 down!! LOADED with convenient features like: Navigation/GPS System, Back up camera, Lane watch camera, Leather powered and Heated seats, Rear heated seats, LED Headlights, Powered sunroof/Moonroof, Fog lights, STUNNING Alloy Rims, Eco mode, Sport Mode, Push to start button, Adaptive cruise control, Lane keep assist, Anti Collision Mitigation system, Bluetooth, Sirius XM capability, AUX, USB, HDMI, Dual climate control, Brake Hold button, and SO much more! Fully Safety Certified, which also includes: -Fresh New Oil Change -Brand New Wiper Blades -Front Brake Service -Rear Brake Rotors Machined This is a Honda Certified Used vehicle. A Honda Certified Used Vehicle must pass a Honda Canada mandated multi-point mechanical and appearance inspection. Any required replacement parts are replaced with only genuine Honda parts, and all the vehicle servicing must be up to current Honda Canada standards. In addition to any remaining factory warranty, this Honda Certified Used Vehicle includes an extended Honda Canada powertrain warranty to 7 years or 160,000 km from the original sale date. For complete peace-of-mind, OpenRoad Honda of Brampton backs up our commitment to 100% customer satisfaction with no questions asked, 7-day or 1,000 km exchange privilege. Open Road Honda of Brampton, strives to make your purchasing experience as positive and enjoyable as possible, we’ve already gathered all the competitors pricing and priced our vehicles accordingly! Which means you will ALWAYS have a fantastic price right from the start. Save the hassle of negotiating and have the peace of mind that we already have aggressive prices in place on any of our vehicles! ***At Open Road Honda of Brampton, we welcome all Trade-Ins, simply bring in your vehicle and we will buy it, even if you don’t buy ours*** All our pre-owned vehicles have a multi-point inspection done, and Fully Safety Certified and CarFAX Verified for your purchasing peace of mind. Shop, compare and then come and see us- you'll be glad you did. Book your viewing appointment today! Open Road Honda is synonymous with world-class service and we invite you to come experience it for yourself!Engine: 4 Cylinder Engine 1.5LL/100Km City: 8.0L/100Km Hwy: 6.6Safety EquipmentVSA Electronic Stability Control (ESC)ABS And Driveline Traction ControlSide Impact BeamsDual Stage Driver And Passenger Seat-Mounted Side AirbagsHondaLink Emergency SosCollision Mitigation Braking SystemLane Keeping Assist System (LKAS) Lane Keeping AssistLane Keeping Assist System (LKAS) Lane Departure WarningCollision Mitigation-FrontDual Stage Driver And Passenger Front AirbagsCurtain 1st And 2nd Row AirbagsAirbag Occupancy SensorRear Child Safety LocksOutboard Front Lap And Shoulder Safety Belts -inc: Rear Centre 3 Point, Height Adjusters and PretensionersBack-Up CameraHonda LaneWatch Right Side CameraInterior EquipmentHeated Front Bucket Seats -inc: driver's seat 8-way power adjustment and passenger's seat 4-way power adjustmentDriver SeatPassenger Seat60-40 Folding Bench Front Facing Heated Fold Forward Seatback Rear SeatManual Tilt/Telescoping Steering ColumnGauges -inc: Speedometer, Odometer, Engine Coolant Temp, Tachometer, Turbo/Supercharger Boost, Trip Odometer and Trip ComputerPower Rear WindowsLeather/Metal-Look Steering WheelFront CupholderRear CupholderCompassValet FunctionPower Fuel Flap Locking TypeRemote Releases -Inc: Power Cargo AccessProximity Key For Doors And Push Button StartRemote Keyless Entry w/Integrated Key Transmitter, Illuminated Entry, Illuminated Ignition Switch and Panic ButtonCruise Control w/Steering Wheel ControlsHVAC -inc: Underseat DuctsDual Zone Front Automatic Air ConditioningGlove BoxDriver Foot RestInterior Trim -inc: Metal-Look Instrument Panel Insert, Metal-Look Door Panel Insert and Metal-Look Interior AccentsFull Cloth HeadlinerLeatherette Door Trim InsertLeather/Metal-Look Gear Shifter MaterialLeather-Trimmed Seating SurfacesDriver And Passenger Visor Vanity Mirrors w/Driver And Passenger Illumination, Driver And Passenger Auxiliary MirrorDay-Night Auto-Dimming Rearview MirrorFull Floor Console w/Covered Storage and 1 12V DC Power OutletFront Map LightsFade-To-Off Interior LightingFull Carpet Floor Covering -inc: Carpet Front And Rear Floor MatsCarpet Floor TrimRoll-Up Cargo CoverCargo Space LightsFOB Controls -inc: Cargo AccessInstrument Panel Bin, Driver / Passenger And Rear Door BinsPower 1st Row Windows w/Driver And Passenger 1-Touch Up/DownDelayed Accessory PowerPower Door Locks w/Autolock FeatureSystems MonitorRedundant Digital SpeedometerTrip ComputerOutside Temp GaugeDigital/Analog AppearanceManual Adjustable Front Head Restraints and Fixed Rear Head RestraintsSliding Front Centre Armrest and Rear Centre Armrest1 Seatback Storage PocketSeats w/Leatherette Back MaterialPerimeter AlarmEngine Immobilizer1 12V DC Power OutletAir FiltrationExterior EquipmentWheels: 18"" Dark Aluminum-AlloyTires: P235/40R18 91W ASWheels w/Machined w/Painted Accents AccentsSteel Spare WheelCompact Spare Tire Mounted Inside Under CargoClearcoat PaintExpress Open/Close Sliding And Tilting Glass 1st Row Sunroof w/SunshadeBody-Coloured Front BumperBody-Coloured Rear BumperBlack Side Windows TrimBody-Coloured Door HandlesRocker Panel ExtensionsBody-Coloured Power Heated Side Mirrors w/Manual Folding and Turn Signal IndicatorFixed Rear Window w/Fixed Interval Wiper, Heated Wiper Park and DefrosterLight Tinted GlassSpeed Sensitive Rain Detecting Variable Intermittent WipersFully Galvanized Steel PanelsLip SpoilerBlack GrilleFront License Plate BracketLiftgate Rear Cargo AccessHeadlights-Automatic HighbeamsFront Fog LampsAuto On/Off Aero-Composite Led Low/High Beam Daytime Running Auto High-Beam Headlamps w/Delay-OffEntertainment EquipmentRadio: 540-Watt AM/FM/HD/SiriusXM Premium Audio -inc: 11 speakers, subwoofer, MP3/Windows Media Audio playback capability, Apple CarPlay, Android Auto, HandsFreeLink bilingual Bluetooth wireless mobile phone interface, Bluetooth streaming audio, 7-inch TFT colour display audio system and driver information interface w/HondaLink including satellite-linked navigation system w/bilingual voice recognition, illuminated steering wheel-mounted audio controls w/capacitive touch, Siri Eyes Free compatibility, SMS text message function, email function, speed-sensitive volume control (SVC), 2 USB device connectors, Wi-Fi tethering and shark-fin antenna SiriusXM only available in certain areas. Includes a no-charge trial of three months.Radio w/Seek-Scan, Clock, Radio Data System and External Memory ControlIntegrated Roof AntennaPerformance Speakers542w Regular AmplifierMechanical EquipmentEngine: 1.5L I-4 DOHC 16-Valve TurbochargedTransmission: Continuously Variable -inc: steering wheel-mounted paddle shifters, Adaptive Cruise Control (ACC) w/Low Speed Follow, Remote Engine StarterFront-Wheel DriveGas-Pressurized Shock AbsorbersFront And Rear Anti-Roll BarsElectric Power-Assist Speed-Sensing Steering46.9 L Fuel TankSingle Stainless Steel Exhaust w/Chrome Tailpipe FinisherStrut Front Suspension w/Coil SpringsMulti-Link Rear Suspension w/Coil Springs4-Wheel Disc Brakes w/4-Wheel ABS, Front Vented Discs, Brake Assist, Hill Hold Control and Electric Parking Brake"
2021 Nissan Qashqai,"$28,383+ taxes",DescriptionSee Dealer Website for Details.
